;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;Film;<A> broadcasted in what area, which also has the <B>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/location> ?uri . <A> <http://dbpedia.org/ontology/broadcastArea> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/location> ?uri . ?a <http://dbpedia.org/ontology/broadcastArea> ?uri };5a8d27913f2348a5a0a9641d53ef1704;;;;;;;;;;;;;;;
;Geography;<A> built a bridge over which river?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/builder> <A> . ?x <http://dbpedia.org/ontology/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };select distinct ?a where { ?x <http://dbpedia.org/property/builder> ?a . ?x <http://dbpedia.org/ontology/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };9bc21c53162242ed83aa510e3a346546;;;;;;;;;;;;;;;
;Geography;<A> built bridges over which rivers?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/builder> <A> . ?x <http://dbpedia.org/ontology/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };select distinct ?a where { ?x <http://dbpedia.org/property/builder> ?a . ?x <http://dbpedia.org/ontology/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };441c7a0159b046ba94bec61882574380;;;;;;;;;;;;;;;
;Film;<A> cinematographed how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/cinematography> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/cinematography> ?a };d1087a6ae2e640ee9b0c1458c8447ee8;;;;;;;;;;;;;;;
;Sport;<A> colored horses have won which races?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/colour> <A> . ?x <http://dbpedia.org/ontology/honours> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };select distinct ?a where { ?x <http://dbpedia.org/ontology/colour> ?a . ?x <http://dbpedia.org/ontology/honours> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };5b5d82f71a4c4d54989be43bbf8d4ce4;;;;;;;;;;;;;;;
;;<A> compiled journals of which field?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/editor> <A> . ?x <http://dbpedia.org/property/discipline> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/editor> ?a . ?x <http://dbpedia.org/property/discipline> ?uri };337774a6b5bc4fb4bdf86ecb5abf0a33;;;;;;;;;;;;;;;
;Computer;<A> designed video games written by whom?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/designer> <A> . ?x <http://dbpedia.org/property/writer> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };select distinct ?a where { ?x <http://dbpedia.org/ontology/designer> ?a . ?x <http://dbpedia.org/property/writer> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };85bb180bf8e34202b4aa22716ce5071a;;;;;;;;;;;;;;;
;Film;<A> did a guest appearance on which series?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/guests> <A> . ?x <http://dbpedia.org/ontology/series> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/guests> ?a . ?x <http://dbpedia.org/ontology/series> ?uri };f397d4e121954f05be803892461d82f9;;;;;;;;;;;;;;;
;Music;<A> did the music for what movies?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/music> <A> . ?uri a <http://dbpedia.org/ontology/Film> };select distinct ?a where { ?uri <http://dbpedia.org/property/music> ?a . ?uri a <http://dbpedia.org/ontology/Film> };59686a5c59394e02a601a3632e7c72bf;;;;;;;;;;;;;;;
;;<A> employes how many people?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/employer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/employer> ?a };e163314e98334f77af0d98ad0c754fc7;;;;;;;;;;;;;;;
;Geography;<A> flows into which river?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/rightTributary> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/rightTributary> ?a };c1149b9f20bf470fad0154de4f2e72b7;;;;;;;;;;;;;;;
;Film;<A> has acted in which movie ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/starring> <A> . ?uri a <http://dbpedia.org/ontology/Film> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/starring> ?a . ?uri a <http://dbpedia.org/ontology/Film> };612fd54a14cf4ea1bd327ac4ab6a3475;;;;;;;;;;;;;;;
;Film;<A> has acted in which movies ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/starring> <A> . ?uri a <http://dbpedia.org/ontology/Film> };select distinct ?a where { ?uri <http://dbpedia.org/property/starring> ?a . ?uri a <http://dbpedia.org/ontology/Film> };66867f2d03ca4db8b5d199cad01a7dee;;;;;;;;;;;;;;;
;;<A> has architected in how many cities?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/architect> <A> . ?x <http://dbpedia.org/property/locationTown> ?uri . ?uri a <http://dbpedia.org/ontology/City> };select distinct ?a where { ?x <http://dbpedia.org/ontology/architect> ?a . ?x <http://dbpedia.org/property/locationTown> ?uri . ?uri a <http://dbpedia.org/ontology/City> };901504aad5414f9b8ea3323d9f9f9e3a;;;;;;;;;;;;;;;
;Literature;<A> has authored which books ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/author> <A> . ?uri a <http://dbpedia.org/ontology/Book> };select distinct ?a where { ?uri <http://dbpedia.org/property/author> ?a . ?uri a <http://dbpedia.org/ontology/Book> };28cd37f0c056464ba94caaf56714d451;;;;;;;;;;;;;;;
;Science;<A> has been awarded to which scientists?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/awards> <A> . ?uri a <http://dbpedia.org/ontology/Scientist> };select distinct ?a where { ?uri <http://dbpedia.org/property/awards> ?a . ?uri a <http://dbpedia.org/ontology/Scientist> };2a59af2efcc74bec9b6f9b1d25486ae5;;;;;;;;;;;;;;;
;Music;<A> has been recorded in which places?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/artist> <A> . ?x <http://dbpedia.org/ontology/recordedIn> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/artist> ?a . ?x <http://dbpedia.org/ontology/recordedIn> ?uri };711db5b7af9245649c23c84820a2671c;;;;;;;;;;;;;;;
;;<A> has been the presenter of how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/presenter> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/presenter> ?a };1c0073aa4e3142589ffd0e487b5742da;;;;;;;;;;;;;;;
;Music;<A> has composed music for how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/composer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/composer> ?a };1baf73ee859f4a678e907f2e806738b0;;;;;;;;;;;;;;;
;Art;<A> has created how many comics character ?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/creators> <A> . ?uri a <http://dbpedia.org/ontology/ComicsCharacter> };select distinct ?a where { ?uri <http://dbpedia.org/property/creators> ?a . ?uri a <http://dbpedia.org/ontology/ComicsCharacter> };d5eec8fa9c454d71af0be385eb6d2193;;;;;;;;;;;;;;;
;;<A> has designed bridges over what things?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/designer> <A> . ?x <http://dbpedia.org/property/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };select distinct ?a where { ?x <http://dbpedia.org/property/designer> ?a . ?x <http://dbpedia.org/property/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };54a6aa13eada429ab1b9d56d49a087ec;;;;;;;;;;;;;;;
;;<A> has hosted how many guests?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/property/guests> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/guests> ?uri };2165408d4ec94d15a8cd6d639dffcfdc;;;;;;;;;;;;;;;
;Sport;<A> has how many american football teams?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/city> <A> . ?uri a <http://dbpedia.org/ontology/AmericanFootballTeam> };select distinct ?a where { ?uri <http://dbpedia.org/property/city> ?a . ?uri a <http://dbpedia.org/ontology/AmericanFootballTeam> };1a867d312a124069949fc1d4e7e99000;;;;;;;;;;;;;;;
;General;<A> has how many relatives?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/property/relatives> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/relatives> ?uri };0823c2c40ec44ed38548274caa96984d;;;;;;;;;;;;;;;
;Film;<A> has narrated in which movie?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/narrator> <A> . ?uri a <http://dbpedia.org/ontology/Film> };select distinct ?a where { ?uri <http://dbpedia.org/property/narrator> ?a . ?uri a <http://dbpedia.org/ontology/Film> };6e5cd8ecf19a490b8da0b62c0e2a9a30;;;;;;;;;;;;;;;
;Literature;<A> has penned books on how many matters?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/author> <A> . ?x <http://dbpedia.org/property/subject> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/author> ?a . ?x <http://dbpedia.org/property/subject> ?uri };a20c86dfc1f64b2fb91429ef3c3c2445;;;;;;;;;;;;;;;
;General;<A> has won how many awards?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/ontology/award> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/award> ?uri };29513d9bf3fb453da72170be9f27bc0d;;;;;;;;;;;;;;;
;Literature;<A> has written about how many topics?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/property/author> <A> . ?x <http://dbpedia.org/ontology/nonFictionSubject> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/author> ?a . ?x <http://dbpedia.org/ontology/nonFictionSubject> ?uri };f38d40e812a24ed08486f86b89c75ca7;;;;;;;;;;;;;;;
;;<A> have been used to cross over how many things?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/property/design> <A> . ?x <http://dbpedia.org/property/crosses> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/design> ?a . ?x <http://dbpedia.org/property/crosses> ?uri };3b73318138c443e789981e3e4d613dab;;;;;;;;;;;;;;;
;;<A> have made bridges crossing over what?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/designer> <A> . ?x <http://dbpedia.org/property/crosses> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/designer> ?a . ?x <http://dbpedia.org/property/crosses> ?uri };024337cb227f4a1395be10e9cb63c5fa;;;;;;;;;;;;;;;
;;<A> highway is a part of which country?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/county> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/county> ?uri };c88a014e1fb347f1aa31dc40e7c66e55;;;;;;;;;;;;;;;
;Music;<A> is a musical instrument played by which artists?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/instrument> <A> . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/instrument> ?a . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };f40c1a2ee9c24177ad87206df71211e0;;;;;;;;;;;;;;;
;;<A> is a part of the building in which city?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/part> <A> . ?x <http://dbpedia.org/property/district> ?uri . ?x a <http://dbpedia.org/ontology/Building> };select distinct ?a where { ?x <http://dbpedia.org/ontology/part> ?a . ?x <http://dbpedia.org/property/district> ?uri . ?x a <http://dbpedia.org/ontology/Building> };bb54180751be476bb26a39120b330d55;;;;;;;;;;;;;;;
;General;<A> is alma mater to which person?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/education> <A> . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?uri <http://dbpedia.org/property/education> ?a . ?uri a <http://dbpedia.org/ontology/Person> };99bb100d636f41afa90e89897f1a45f9;;;;;;;;;;;;;;;
;;<A> is editor of which magazine?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/editor> <A> . ?uri a <http://dbpedia.org/ontology/Magazine> };select distinct ?a where { ?uri <http://dbpedia.org/property/editor> ?a . ?uri a <http://dbpedia.org/ontology/Magazine> };965fd3fdc73445e6b1bddc3d141ebb3c;;;;;;;;;;;;;;;
;;<A> is father to which royalty?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/mother> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/mother> ?a };7ad74ad36f964369a61126ec8c40b05c;;;;;;;;;;;;;;;
Q;General;<A> is from which city?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/hometown> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/hometown> ?uri };1f283dc1bb87433d804608abb6d42fb9;<A>, the Gibraltarian guitarist is from which city?;;;;;;;;;;;;;;
;General;<A> is hometown to which persons?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/hometown> <A> . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/hometown> ?a . ?uri a <http://dbpedia.org/ontology/Person> };d9c86b00d0404514a18fd6635d8b893d;;;;;;;;;;;;;;;
;Music;<A> is in which band?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/bandMember> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/bandMember> ?a };a2ccd223b18049ec8f3baa631c19db91;;;;;;;;;;;;;;;
X;General;<A> is made by architects from which University?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/knownFor> <A> . ?x <http://dbpedia.org/property/education> ?uri . ?x a <http://dbpedia.org/ontology/Architect> };select distinct ?a where { ?x <http://dbpedia.org/property/knownFor> ?a . ?x <http://dbpedia.org/property/education> ?uri . ?x a <http://dbpedia.org/ontology/Architect> };b8180174343249208cb2beeebf8476a0;<A> at Chattanooga is made by architects from which University?;;;;;;;;;;;;;;
;;<A> is owned by which organisation?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/parentOrganisation> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/parentOrganisation> ?uri };e2b55df745ed48acb96b3572ab3e72e3;;;;;;;;;;;;;;;
;Sport;<A> is played by which countries' citizens?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/occupation> <A> . ?x <http://dbpedia.org/ontology/stateOfOrigin> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/occupation> ?a . ?x <http://dbpedia.org/ontology/stateOfOrigin> ?uri };1cb5a6736cd044c798948ca8e81ad7fb;;;;;;;;;;;;;;;
X;;<A> is spoken in which countries?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/languages> <A> . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?uri <http://dbpedia.org/property/languages> ?a . ?uri a <http://dbpedia.org/ontology/Country> };5a5552c654f843e2af53c66e80782253;<A> are spoken in which countries?;;;;;;;;;;;;;;
;Sport;<A> is the coach of which basketball team ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/coach> <A> . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };select distinct ?a where { ?uri <http://dbpedia.org/property/coach> ?a . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };d6eb5633d2524379863ad29551cf0089;;;;;;;;;;;;;;;
;Sport;<A> is the cofounder of a company that invested stocks in which baseball teams?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/founder> <A> . ?uri <http://dbpedia.org/property/owner> ?x . ?uri a <http://dbpedia.org/ontology/BaseballTeam> };select distinct ?a where { ?x <http://dbpedia.org/property/founder> ?a . ?uri <http://dbpedia.org/property/owner> ?x . ?uri a <http://dbpedia.org/ontology/BaseballTeam> };83152a2adbe949ab904fda1101384ee7;;;;;;;;;;;;;;;
;Film;<A> is the executive producer of the series having how many fictional characters?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/executiveProducer> <A> . ?uri <http://dbpedia.org/ontology/series> ?x . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?x <http://dbpedia.org/ontology/executiveProducer> ?a . ?uri <http://dbpedia.org/ontology/series> ?x . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };728abc0613c4486dac29a63aa6e90537;;;;;;;;;;;;;;;
;;<A> is the governing body of which city?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/governingBody> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/governingBody> ?a };3c55183d437f49039e6d568fb6623c8f;;;;;;;;;;;;;;;
D;;<A> is the governing body of which city?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/governingBody> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/governingBody> ?uri };a3c789f47bd247b6be843aa13563bc36;<A> is the governing body of which city?;;;;;;;;;;;;;;
;General;<A> is the home town of what people?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/hometown> <A> . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/hometown> ?a . ?uri a <http://dbpedia.org/ontology/Person> };489c3ac08b304bbaae50df383689eebe;;;;;;;;;;;;;;;
;;<A> is the HQ of how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/headquarters> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/headquarters> ?a };33984af5c01b4427b7af87f294ee0f1c;;;;;;;;;;;;;;;
;;<A> is the largest city of which country?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/largestCity> <A> . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/largestCity> ?a . ?uri a <http://dbpedia.org/ontology/Country> };2bf7c4d882ac4bdca78ac99d19625b3b;;;;;;;;;;;;;;;
;;<A> is the leader title of which country?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/leaderTitle> <A> . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?uri <http://dbpedia.org/property/leaderTitle> ?a . ?uri a <http://dbpedia.org/ontology/Country> };4ec3f228ceb342d1b160cd91a06ac835;;;;;;;;;;;;;;;
N;;<A> is the mayor of what city?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/leaderName> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/leaderName> ?a };be6db808f6ae400989a772e77e8e9ff1;<A> is the mayor of what city?;;;;;;;;;;;;;;
;;<A> is the mayor of what?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/mayor> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/mayor> ?a };543de17bf3734e12bdf36bd202942338;;;;;;;;;;;;;;;
;Music;<A> is the member of what band?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/currentMembers> <A> . ?uri a <http://dbpedia.org/ontology/Band> };select distinct ?a where { ?uri <http://dbpedia.org/property/currentMembers> ?a . ?uri a <http://dbpedia.org/ontology/Band> };47e1ecb9aed24329aa182ac22dd61027;;;;;;;;;;;;;;;
;;<A> is the national anthem of which country?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/nationalAnthem> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/nationalAnthem> ?a };dc045b68c18349d693ff758050108ee5;;;;;;;;;;;;;;;
;Computer;<A> is the operating system of how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/operatingSystem> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/operatingSystem> ?a };2b42a9987e584e18a5a21c9bc2476de8;;;;;;;;;;;;;;;
;;<A> is the origin of how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/origin> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/origin> ?a };563b1fefc10e4618a5b680d3baa31037;;;;;;;;;;;;;;;
;;<A> is the owner of the distributor of what?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/owner> <A> . ?uri <http://dbpedia.org/ontology/distributor> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/owner> ?a . ?uri <http://dbpedia.org/ontology/distributor> ?x };ea289b0161b2405ca5ec1de91100eab1;;;;;;;;;;;;;;;
